 folder, n_r, n_theta, aspect_ratio, shell_depth, chebyshev, rotation, magnetism, viscous_heating, ohmic_heating, Ekman_Number, Prandtl_Number, Magnetic_Prandtl_Number, Rayleigh_Number, Modified_Rayleigh_Number, no_slip_boundaries, fix_tvar_bottom, T_bottom, fix_dtdr_bottom, dTdr_bottom, fix_tvar_top, T_top, fix_dtdr_top, dTdr_top, hyperdiffusion, hyperdiffusion_alpha, hyperdiffusion_beta, 
mheimpel/rayleigh_back2,128,256,-1E+00,-1E+00, .false., .DEFAULT., .DEFAULT., .DEFAULT., .DEFAULT.,1E+00,-1E+00,-1E+00,-1E+00,-1E+00, .DEFAULT., .DEFAULT.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30,-1.000000015047E+30, 
mheimpel/rayleigh_back_Apr_2017,128,256,-1E+00,-1E+00, .false., .DEFAULT., .DEFAULT., .DEFAULT., .DEFAULT.,1E+00,-1E+00,-1E+00,-1E+00,-1E+00, .DEFAULT., .DEFAULT.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30,-1.000000015047E+30, 
mheimpel/JupNatGeo/E1n3/run1,96,384,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-03,1E+00,-1E+00,-1E+00,1E-01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,0E+00, .false.,1E+01,3E+00, 
mheimpel/JupNatGeo/E1n3/run2,96,384,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-03,1E+00,-1E+00,-1E+00,1E-01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,0E+00, .false.,1E+01,3E+00, 
mheimpel/JupNatGeo/E1n4/run1,128,512,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-04,1E+00,-1E+00,-1E+00,8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,3.5E+01, .true.,1E+01,3E+00, 
mheimpel/JupNatGeo/E1n4/run2,256,1024,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-04,1E+00,-1E+00,-1E+00,8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,3.5E+01, .true.,1E+01,3E+00, 
mheimpel/JupNatGeo/E1n4/run3,256,1024,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-04,1E+00,-1E+00,-1E+00,8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,3.5E+01, .true.,3E+00,3E+00, 
mheimpel/JupNatGeo/E1n5/run1,256,1024,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-05,1E+00,-1E+00,-1E+00,6E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,7E+01, .true.,4.5E+01,3E+00, 
mheimpel/JupNatGeo/E3n5/run1,256,1024,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-05,1E+00,-1E+00,-1E+00,7E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,5.5E+01, .true.,1.5E+01,3E+00, 
mheimpel/JupNatGeo/E3n6/run1,256,1024,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,4.8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,8.581E+01, .true.,1.1E+02,3E+00, 
mheimpel/JupNatGeo/E3n6/run2,256,1536,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,4.8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,8.581E+01, .true.,1.2E+02,3E+00, 
mheimpel/JupNatGeo/E3n6/run3,256,1536,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,4.8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,8.581E+01, .true.,1.2E+02,3E+00, 
mheimpel/JupNatGeo/E3n6/run4,384,1536,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,4.8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,8.581E+01, .true.,9E+01,3E+00, 
mheimpel/JupNatGeo/E3n6/run4a,384,1536,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,4.8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,8.581E+01, .true.,9E+01,3E+00, 
mheimpel/JupNatGeo/E3n6/run4b,384,1536,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,4.8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,8.581E+01, .true.,9E+01,3E+00, 
mheimpel/JupNatGeo/E3n6/run5,384,1536,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,4.8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,8.581E+01, .true.,9E+01,3E+00, 
mheimpel/JupNatGeo/E3n6/run6,256,1536,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,4.8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,8.581E+01, .true.,1.2E+02,3E+00, 
mheimpel/Uranus75/E1n3/run1,384,576,7.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-03,1E+00,-1E+00,-1E+00,1E+01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,1E+01,3E+00, 
mheimpel/Uranus75/E1n4/run1,384,576,7.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-04,1E+00,-1E+00,-1E+00,1.5E+01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,1.25E+02, .true.,1E+01,3E+00, 
mheimpel/Uranus75/E3n4/run1,384,576,7.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-04,1E+00,-1E+00,-1E+00,1E+01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,1E+01,3E+00, 
mheimpel/Uranus75/E3n4/run2,384,576,7.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-04,1E+00,-1E+00,-1E+00,1E+01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,1.25E+02, .true.,1E+01,3E+00, 
mheimpel/Uranus75/E3n4/run3,384,576,7.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-04,3E-01,-1E+00,-1E+00,1E+01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,1.25E+02, .true.,1E+01,3E+00, 
mheimpel/Uranus75/E3n4/run4,384,576,7.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-04,1E+00,-1E+00,-1E+00,1.5E+01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,1.25E+02, .true.,1E+01,3E+00, 
mheimpel/testruns/benchmark_case/run0,128,192,-1E+00,-1E+00, .true., .true., .false., .DEFAULT., .DEFAULT.,-1E+00,-1E+00,-1E+00,-1E+00,-1E+00, .DEFAULT., .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30,-1.000000015047E+30, 
mheimpel/testruns/benchmark_case/run1,128,192,-1E+00,-1E+00, .true., .true., .false., .DEFAULT., .DEFAULT.,-1E+00,-1E+00,-1E+00,-1E+00,-1E+00, .DEFAULT., .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30,-1.000000015047E+30, 
mheimpel/testruns/benchmark_case/run2,256,384,-1E+00,-1E+00, .true., .true., .false., .DEFAULT., .DEFAULT.,-1E+00,-1E+00,-1E+00,-1E+00,-1E+00, .DEFAULT., .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30,-1.000000015047E+30, 
mheimpel/testruns/benchmark_case/run3,512,768,-1E+00,-1E+00, .true., .true., .false., .DEFAULT., .DEFAULT.,-1E+00,-1E+00,-1E+00,-1E+00,-1E+00, .DEFAULT., .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .true.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30, .DEFAULT.,-1.000000015047E+30,-1.000000015047E+30, 
mheimpel/Jup90/fsb/E3n6/run1,384,1152,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,4E-02, .DEFAULT., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,1.2E+02,3E+00, 
mheimpel/Jup90/fsb/E3n6/run2,384,1152,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,4E-02, .DEFAULT., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,1.2E+02,3E+00, 
mheimpel/Jup90/fsb/E3n6/run3,512,1536,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,4.8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,1E+03, .true.,9E+01,3E+00, 
mheimpel/Jup90/fsb/E3n6/runM1,512,1536,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,4.8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,1E+03, .true.,1.2E+02,3E+00, 
mheimpel/Jup90/fsb/E3n6/runM2,512,1536,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,4.8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,1E+03, .true.,1.2E+02,3E+00, 
mheimpel/Jup90/fsb/E3n6/runM3,512,1536,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,4.8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,1E+03, .true.,1.2E+02,3E+00, 
mheimpel/Jup90/fsb/E3n6/runM4,512,1536,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,4.8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,1E+03, .true.,1.2E+02,3E+00, 
mheimpel/Jup90/fsb/E3n6/runM5,512,1536,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,4.8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,1E+03, .true.,1.2E+02,3E+00, 
mheimpel/Jup90/fsb/E3n6/runM6,512,1536,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,4.8E-02, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,1E+03, .true.,1.2E+02,3E+00, 
mheimpel/Jup90/nsb/E1n4/run1,256,576,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-04,1E+00,-1E+00,-1E+00,2E-01, .DEFAULT., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.9E+01, .true.,1E+01,3E+00, 
mheimpel/Jup90/nsb/E1n4/run2,256,576,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-04,1E+00,-1E+00,-1E+00,2E-01, .DEFAULT., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.9E+01, .true.,1E+01,3E+00, 
mheimpel/Jup90/nsb/E1n4/run3,256,576,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-04,1E+00,-1E+00,-1E+00,2E-01, .DEFAULT., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,1E+01,3E+00, 
mheimpel/Jup90/nsb/E1n5/run1,384,768,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-05,1E+00,-1E+00,-1E+00,2.2E-01, .DEFAULT., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,9E+01,3E+00, 
mheimpel/Jup90/nsb/E1n5/run2,384,768,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-05,1E+00,-1E+00,-1E+00,1.2E-01, .DEFAULT., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,6E+01,3E+00, 
mheimpel/Jup90/nsb/E3n5/run1,256,768,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-05,1E+00,-1E+00,-1E+00,2E-01, .DEFAULT., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,3E+01,3E+00, 
mheimpel/Jup90/nsb/E3n5/run2,384,768,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-05,1E+00,-1E+00,-1E+00,5E-01, .DEFAULT., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,3E+01,3E+00, 
mheimpel/Jup90/nsb/E3n5/run3,384,768,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-05,1E+00,-1E+00,-1E+00,1.5E-01, .DEFAULT., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,3E+01,3E+00, 
mheimpel/Jup90/nsb/E3n6/run1,384,1152,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,1E-01, .DEFAULT., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,9E+01,3E+00, 
mheimpel/Uranus75/N5/E1n3/run1,256,384,7.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-03,1E+00,-1E+00,-1E+00,1E+01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.3E+01, .true.,3E+00,3E+00, 
mheimpel/Uranus75/N5/E1n3/run2,256,384,7.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-03,1E+00,-1E+00,-1E+00,1E+01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.3E+01, .true.,3E+00,3E+00, 
mheimpel/Uranus75/N5/E1n4/run1,384,576,7.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-04,1E+00,-1E+00,-1E+00,1E+01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.3E+01, .true.,3E+01,3E+00, 
mheimpel/Uranus75/N5/E3n4/run1,192,384,7.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-04,1E+00,-1E+00,-1E+00,1E+01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.3E+01, .true.,1E+01,3E+00, 
mheimpel/Jup95/fsb/poly_n1/E1n4/run1,384,768,9.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-04,1E+00,-1E+00,-1E+00,5E-01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,6E+01,3E+00, 
mheimpel/Jup95/fsb/poly_n1/E1n4/run2,384,768,9.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-04,1E+00,-1E+00,-1E+00,1E+00, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,6E+01,3E+00, 
mheimpel/Jup95/fsb/poly_n1/E1n5/run1a,384,1152,9.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,2E-05,1E+00,-1E+00,-1E+00,1E+00, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,9E+01,3E+00, 
mheimpel/Jup95/fsb/poly_n1/E1n5/run1b,384,1152,9.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1.38E-05,1E+00,-1E+00,-1E+00,1E+00, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,9E+01,3E+00, 
mheimpel/Jup95/fsb/poly_n1/E1n5/run1c,384,1152,9.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-05,1E+00,-1E+00,-1E+00,1E+00, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,9E+01,3E+00, 
mheimpel/Jup95/fsb/poly_n1/E1n5/run2,384,1152,9.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-05,3E-01,-1E+00,-1E+00,1E+00, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,9E+01,3E+00, 
mheimpel/Jup95/fsb/poly_n1/E1n5/run3,384,1152,9.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-05,1E-01,-1E+00,-1E+00,7.5E-01, .DEFAULT., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,9E+01,3E+00, 
mheimpel/Jup95/fsb/poly_n1/E1n5/run4,384,1152,9.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-05,1E-01,-1E+00,-1E+00,5E-01, .DEFAULT., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,9E+01,3E+00, 
mheimpel/Jup95/fsb/poly_n1/E1n5/run5,384,1152,9.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-05,3E-01,-1E+00,-1E+00,7.5E-01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,9E+01,3E+00, 
